,issuekey,title,description,storypoint
0,STUDIO-95,Support for request/reply,support request reply request reply documentation display current routing message corp display request reply request reply,13
1,STUDIO-280,Cannot import a Studio project from Git without errors,cannot import studio project git without reproduce create simple mule studio project instance echo example push pull clone repository local instance open brand new import git git select local copy repository select import select project import due missing see note import mule project work project git cannot commit blocking work edit perform clean operation project,3
2,STUDIO-382,Changes to Java code do not get hot deployed,code get hot source get picked right automatically see studio however even redeploy triggered latest,5
3,STUDIO-459,Unable to add a response when creating a second flow in the same mflow,unable add response second flow unable add response second flow reproduce open studio create project template order discounter file create another flow drag drop echo flow reference router component echo file file try add response echo component like one displayed template flow unable add response instead add component soap component see screen shot,8
4,STUDIO-618, Namespaces in the XML view are not being removed when you remove all the elements of a kind,view removed remove kind add element remove reference schema file removed reproduce create project studio flow go global tab add example global jetty default go view check code reference mule jetty go back global tab delete issue go back view code ti reference mule jetty still jetty element flow global tab careful reference instance element kind flow global element global connector reference element kind ex jetty element reason,8
5,STUDIO-781,"Would save time to be given the option to create a class in addition to selecting an existing class inside a widget dialog box (e.g., Component)",would save time given option create class addition class inside box e g component add button create class,5
6,STUDIO-782,View the class code just by clicking on the class name displayed in the widget dialog box,view class code class name displayed box currently view class code e g component configuration leave box find desirable feature would view class code separate tab editor class name displayed box,5
7,STUDIO-837,Reference to the subflow get lost when changing the subflow name (Exception Strategy),reference get lost name exception strategy reproduce create project studio flow sub flow go flow window set exception ref change name open flow window ref blank behavior reference user change name,8
8,STUDIO-853,"Studio can be a lot smarter when handling logic expressions. I'd rather not see AND, OR, NOT filters in the palette",studio lot handling logic rather see palette could single filter element flow control section one people select expression work section allow user add new think much better usability single filter element whole palette working logic natural user e odd start filter configure,34
9,STUDIO-1212,Response section is not displayed,response section displayed flow name doc name composite source inbound exchange pattern request response host port doc name inbound exchange pattern request response path text plain doc name composite source component class doc name outbound exchange pattern request response host port doc name response component class doc name response flow response displayed see pic attached,5
10,STUDIO-1311,Able to drag and drop composite source and poll as response elements,able drag drop composite source poll response able drag drop composite source poll response flow correct let user able drop composite source poll dropping response empty response box configuration written response screen shot,3
11,STUDIO-1333,"There is no specification when there is a global endpoint or a connector created in the global elements table, they are just called the same and it is confusing",specification global connector global table usability issue specification global connector global table reproduce create global create connector type name global table name already type specify global connector nowadays think type useless say anything user global connector rest global pretty,13
12,STUDIO-1415,Executing simple lookup table configuration is showing error message,simple table configuration showing error message table subject key executed preview error message displayed message transform see attached,8
13,STUDIO-1428,Unable to create new mappings using new excel format xlsx,unable create new new excel format unable create new excel new format reproduce create new input select excel add attached issue output select anything click finish button error displayed error log see attached error,8
14,STUDIO-1435,Multiple xml validation errors in Studio editor,multiple validation studio editor element service child element oh often time perfect sense child element rather subsequent one false alarm flow start inbound response child element course,5
15,STUDIO-1538,Undo option (command + z / Ctrl + z ) does not work if you remove a global element,undo option command z z work remove global element reproduce go global tab create element remove press z command z issue element,8
16,STUDIO-1676,Suggest to stop the corresponding running mule instance when deleting a project,suggest stop corresponding running mule instance project reproduce create project run mule application try delete project error pop related mule still complete desire delete project user abort operation undo undo anything stop mule try studio prompt user consent stop running mule instance one running project delete operation fail otherwise,5
17,STUDIO-1694,"Default of ""Auto delete"" in the File endpoint is hidden in a non-usable way",default auto delete file hidden non usable way see edit auto delete option file connector go end point choose reference add reference global connector reference option see attached,8
18,STUDIO-1738,Add JAXB support,add support would nice could support object transformer context,2
19,STUDIO-1759,More easily navigate between XML and GUI,easily navigate much easier navigate appropriate element flow block within furthermore would great go way well click element bring user directly flow element within,13
20,STUDIO-1811,Studio is not validating that certain scopes should start only with inbound or outbound endpoints,studio certain start inbound outbound edit bug first discovered exception description case message flow tab drop inbound exception able validation indication invalid example code catch exception strategy inbound host port doc name catch exception strategy code invalid inbound inbound error whatsoever present present problem pane drawn red x message flow tab also valid kind scope restriction start inbound outbound sample fail dont code sub flow name doc name inbound host port doc name sub flow code code composite source outbound host port doc name composite source code code poll frequency inbound host port doc name poll code,5
21,STUDIO-2000,Error unzipping MuleStudio in Windows in a long path,error long path long path example document shown attached may shown password error bug b archive problem limitation much studio fix issue failing eclipse class install studio simpler shorter directory example c need add release see document better stuff test problem default zip utility come extracted c directory another location specific present issue,21
22,STUDIO-2104,Unable to drag a Twitter neither a Salesforce Streaming from the palette into the composite source,unable drag twitter neither streaming palette composite source unable drag twitter neither streaming palette composite source composite source contain message therefore able drag drop twitter streaming composite source,2
23,STUDIO-4050,Studio cannot be pinned to the taskbar,studio cannot pinned unlike studio cannot pinned quick access aware problem eclipse general make clear usability issue right click icon running studio see one option close window,8
24,STUDIO-2779,Studio Online Help Enhancements,studio help new content doc team dynamic help make sure associated dynamic help content dynamic help tab default studio upon first start,8
25,STUDIO-2787,Fixing MES Studio behavior for fields that use Collections,fixing studio behavior use browse,8
26,STUDIO-2781,Studio Support for WebSockets,studio support defined specification,8
27,STUDIO-2782,Adding Reference to CH Analytic end-point on Studio Start,reference analytic end point studio start whenever studio send get request following e studio id example name studio id unique id associated studio instance example name name example service turn make call event name example following e service effectively proxy studio event case service available connectivity service machine example executed call fail gracefully noticeable effect studio user point view,8
