,Unnamed: 0,issuekey,title,description,storypoint
0,0,TISTUD-6,add ca object function add ca object function div p idea type function able create instance type object literal function invocation example p code ti property ca code div,Add CA against object literals in function invocations add ca object function div p idea type function able create instance type object literal function invocation example p code ti property ca code div,1
1,1,TISTUD-9,update update div p least fix feature associated perhaps well p div,Update branding for Appcelerator plugin to Appcelerator logo  update div p least fix feature associated perhaps well p div,1
2,2,TISTUD-11,create new schema team create new schema team div p create schema proper ca hand schema platform team output new part new may instead use format case need indicate team additional added p div,Create new JSON schema for SDK team create new schema team div p create schema proper ca hand schema platform team output new part new may instead use format case need indicate team additional added p div,1
3,3,TISTUD-13,create project property page create project property page div p create property page project manipulation user add remove possible p p may well established metaphor page elsewhere investigate page possible appropriate p div,Create Project References Property Page create project property page div p create property page project manipulation user add remove possible p p may well established metaphor page elsewhere investigate page possible appropriate p div,1
4,4,TISTUD-16,new project wizard new project wizard div p need convert project creation code blob master project blob master blob master blob master p div,New Desktop Project Wizard new project wizard div p need convert project creation code blob master project blob master blob master blob master p div,1
5,5,TISTUD-21,launch application blackberry emulator launch application blackberry emulator div p note platform specific need restrict usage appropriate create launch configuration run application appropriate device emulator copy appropriate p div,Launch application on Blackberry emulator launch application blackberry emulator div p note platform specific need restrict usage appropriate create launch configuration run application appropriate device emulator copy appropriate p div,1
6,6,TISTUD-22,launch application device launch application device div p replicate experience launch configuration appropriate p div,Launch application on iOS device (tethered) launch application device div p replicate experience launch configuration appropriate p div,1
7,7,TISTUD-23,launch application android device launch application android device div p check part launch configuration correct would open preference page p div,Launch application on Android device (tethered) launch application android device div p check part launch configuration correct would open preference page p div,1
8,8,TISTUD-24,create project create project div p send zip file web service package poll see process embed web page link build p div,Create packager for Desktop project create project div p send zip file web service package poll see process embed web page link build p div,1
9,9,TISTUD-25,create mobile project create mobile project div p follow appropriate launch wizard right click menu explorer button explorer top bar p div,Create packager for Mobile/iOS project create mobile project div p follow appropriate launch wizard right click menu explorer button explorer top bar p div,1
10,10,TISTUD-28,show remote view show remote view div p allow alternate list remote server would demand code p div,Show remote samples in Samples View show remote view div p allow alternate list remote server would demand code p div,1
11,11,TISTUD-29,add titanium add titanium div p short list included titanium developer kitchen sink obvious one p div,Add Titanium Samples add titanium div p short list included titanium developer kitchen sink obvious one p div,1
12,12,TISTUD-30,convert titanium ruble package titanium convert titanium ruble package titanium div p convert titanium mobile ruble format titanium mobile titanium double check license may need ask permission p div,Convert Titanium Ruble and package with Titanium Plugin convert titanium ruble package titanium div p convert titanium mobile ruble format titanium mobile titanium double check license may need ask permission p div,1
13,13,TISTUD-31,add sample titanium add sample titanium div p add template directory add sample per titanium specific perhaps something team could suggest least ruble added later p div,Add Sample Titanium templates add sample titanium div p add template directory add sample per titanium specific perhaps something team could suggest least ruble added later p div,1
14,14,TISTUD-32,auto update titanium auto update titanium div p ping web service present proper directory shalom portal code p div,Auto-update of Titanium SDK auto update titanium div p ping web service present proper directory shalom portal code p div,1
