,issuekey,title,description,storypoint
0,APSTUD-3707,Add Copy URL actions to right-click context menu of Remote view for S3 files,add copy right click context menu remote view able connect bucket drag copy image refer remotely release link easy way tell various could use refer resulting right click choose copy expiring one hour one day one week one hour torrent,5
1,APSTUD-23,Aptana tries to open a new instance of itself when opening files via Windows Explorer,open new instance opening via explorer div p assigned open new instance opening win tender issue tender p p o win p p running try open explorer double click enter use cannot choose different one showing splash screen p p dragging running instance cause behavior opening project view except temp solution chose open p p already luck p li installation folder folder writable li li several complete li li removed lock file folder li li new switched li li administrator li p new fix problem temporary problem back within week p p never saw splash screen running another file loaded running instance eclipse p p quite annoying cause every time splash screen either file open due locked p div,8
2,APSTUD-99,Content assist popup is shown outside the screen boundaries,content assist shown outside screen see image content assist outside screen boundary right,8
3,APSTUD-190,PHP Autocompletion for parent methods,parent overwrite parent method often need call new method example code class parent public function class child public function foo return parent content assist code parent fix attempt replicate check see item fixed version code fixed link issue problem,13
4,APSTUD-246,Dragging an image into the HTML editor should create an image tag,dragging image editor create image tag dragging image editor create tag view behavior dropping image onto editor image tag relative path image file hight width alt text initial version e dragging code width height alt code,8
5,APSTUD-350,singleton scriptdoc / code completion,singleton code completion given pattern code function self self get function return return self code studio able pattern correctly wonder possible tell yes seen class additionally self could super constructor working either expect naturally soon really searching good ide also kind writing object way,13
6,APSTUD-378,Aptana Studio does not ship with debugger sample,studio ship sample trying get studio install studio mac o x following help instruct install add code display current import sample project view expand studio node view node related get studio node,8
7,APSTUD-612,Redraw error when using JS snippet,redraw error snippet div p may actually issue posted case indicative issue p li open editor li li type li li type tab li li allow enough time pas next two available li li type li p point two go away see trash screen trash add remove p div,8
8,APSTUD-769,PHP Debugger,something shipped know know product page seen coming soon yet would great found go ability run script parser get output found one main use lecturer technical university helping understand going inside process,40
9,APSTUD-796,Project Explorer is showing duplicate files and folders,project explorer showing duplicate attached image project explorer see current improper behavior attached image c c see behavior view proper project explorer web new install eclipse studio arch also see linked,13
10,APSTUD-814,Option to remove trailing whitespace on file save,option remove trailing file save eclipse option trailing automatically removed save e end line impact possible could add useful feature,13
11,APSTUD-832,"Find dialog cause text selection to ""invert"" colors",find cause text selection invert color select text open find replace press f click magnifier icon search bar point selection gone like inverted something similar option find replace selected line useless latest build never experienced error log clean,8
12,APSTUD-865,Add ability to Shift+Ctrl+arrow to select word via camel case,add ability shift arrow select word via camel case old selection width shift arrow selected single segment current version whole word selected possible change behaviour somehow maybe option,8
