,issuekey,title,description,storypoint
0,MULE-6432,Implement true multicast functionality for <all> processor,implement true functionality processor currently sequentially could issue message inside take long time respond e g multiple request response agreed behavior e g true set true spawn multiple inside one inside exception return included response collection exception strategy,8
1,MULE-5990,Does Mule support XA transaction on XA resources used by a Spring object component ?,mule support transaction used spring object component know common use case bridge pattern read message inbound queue writing message outbound queue code service name inbound inbound queue queue inbound outbound router outbound queue queue outbox outbound router outbound service code something go wrong writing result outbound use transaction inbound outbound message inbound case exception solve issue transaction appropriate transaction strategy code service name inbound inbound queue queue transaction action inbound inbound outbound router outbound queue queue outbox transaction action outbound outbound transaction action outbound router outbound service code component inbound outbound code service name inbound inbound queue queue transaction action inbound inbound component spring object bean component outbound router outbound queue queue outbox transaction action outbound outbound transaction action outbound router outbound service code spring object component execute complicated business currently business also use execute several select update result outbound handled likely spring even far understand mule fully responsible handle enlistment close see mule transaction default used spring object component handled mule participate transaction mule completeness also found unit test mule distribution mule zip mule test integration transaction execute test successful result resource used dao bean enlisted transaction mule,8
2,MULE-6087,Include validation module in Mule core distribution,include validation module mule core distribution validation module something missing inside mule validation module support built also different validation generate different response kind exception module mule module validation,8
3,MULE-6118,until-successful should set exception payload with last exception received before sending to DLQ,successful set exception last exception received sending title see thread forum deprecate doc,5
4,MULE-6145,until-successful should support synchronous use cases,successful support synchronous use imagine simple synchronous proxy use case e g flow inbound outbound flow outbound wrapped successful flow work successful must support synchronous well,8
5,MULE-6172,Upgrade apache-commons-pool,upgrade apache common pool since error handling current version apache common pool buggy method losing original cause may need update library version fix issue however current code trunk issue wait new release,3
6,MULE-6251,Add a default object store for non internal usages,add default object store non internal current version object default persistent memory use internally object store could used default,3
7,MULE-6355,soapVersion ignored on CXF proxy,proxy proxy soap message warning soap fault caller code soap envelope soap soap envelope soap body soap fault soap envelope soap message valid sent soap soap fault soap body soap envelope code removing attribute proxy soap message work intense happiness,8
8,MULE-6367,FTP Inbound endpoint fails when reading empty file,inbound reading empty file put empty file inbound path,5
9,MULE-6386,Outbound endpoint with scheduled dispatch job delivers messages again and again,outbound dispatch job send test test say every second different ex notice random order idea,5
10,MULE-6441,Inconsistent behaviour of foreach with inside flowvar,inconsistent behaviour inside index inside flow consistent lack atomicity invocation causing result jump iteration overwrite invocation example result query save value row flow variable make always available next original project problem come flow invocation variable carrying index iteration also name element saved consistent iteration sometimes also element array time value,5
11,MULE-6468,Messages generated from http-messages.properties should be escaped when returned to the client as http response,returned client response currently send following request code get en form accept accept language en u user agent compatible net host staging authorization script alert script cache staging en form x scan memo category audit function none authorization null engine cross site retry false attack connection keep alive group date vulnerability legacy code receive following response code forbidden date server mule core status x authenticate basic realm content type text plain content length connection close basic filter doesnt know handle header script alert script message type string code potential malicious code browser run message returned client prevent kind,8
12,MULE-6471,Default exception strategy is not being called,default exception strategy following flow code flow name doc name inbound exchange pattern request response host port path save doc name store ref key user value ref doc name user doc name component doc name groovy script engine groovy text thread sleep text script component outbound exchange pattern one way address doc name custom event event name user doc name user meta data key user value user custom event catch exception strategy set value string could store user doc name exception catch exception strategy flow code post invalid return could store user however code flow name doc name inbound exchange pattern request response host port path save doc name store ref key user value ref doc name user doc name component doc name groovy script engine groovy text thread sleep text script component outbound exchange pattern one way address doc name custom event event name user doc name user meta data key user value user custom event default exception strategy set value string could store user doc name exception default exception strategy flow code exception handled,1
13,MULE-6501,XsltTransformer forcefully evaluate expressions in context-property into Strings,forcefully evaluate context property arbitrary limitation passing dom come fact transformer parse method code object string key object value message value string return parse value message return value code,8
14,MULE-6512,MuleMessageToHttpResponse.createResponse shouldn't use SimpleDateFormat,use use since thread safe use one static instance faster new one time,2
15,MULE-6566,Per App Classloader should clean all native libraries from the classloader on redeploy,per clean native redeploy case example sap application mule native sap transport application directory redeploy error invalid memory access location problem native library properly unloaded jar load execution,5
16,MULE-6604,Upgrade Jackson to 1.9.11,upgrade version work need upgrade,1
