,issuekey,title,description,storypoint
0,TISTUD-6,Add CA against object literals in function invocations,add ca object function div p idea type function able create instance type object literal function invocation example p code ti property ca code div,1
1,TISTUD-9,Update branding for Appcelerator plugin to Appcelerator logo ,update div p least fix feature associated perhaps well p div,1
2,TISTUD-11,Create new JSON schema for SDK team,create new schema team div p create schema proper ca hand schema platform team output new part new may instead use format case need indicate team additional added p div,1
3,TISTUD-13,Create Project References Property Page,create project property page div p create property page project manipulation user add remove possible p p may well established metaphor page elsewhere investigate page possible appropriate p div,1
4,TISTUD-16,New Desktop Project Wizard,new project wizard div p need convert project creation code blob master project blob master blob master blob master p div,1
5,TISTUD-21,Launch application on Blackberry emulator,launch application blackberry emulator div p note platform specific need restrict usage appropriate create launch configuration run application appropriate device emulator copy appropriate p div,1
6,TISTUD-22,Launch application on iOS device (tethered),launch application device div p replicate experience launch configuration appropriate p div,1
7,TISTUD-23,Launch application on Android device (tethered),launch application android device div p check part launch configuration correct would open preference page p div,1
8,TISTUD-24,Create packager for Desktop project,create project div p send zip file web service package poll see process embed web page link build p div,1
9,TISTUD-25,Create packager for Mobile/iOS project,create mobile project div p follow appropriate launch wizard right click menu explorer button explorer top bar p div,1
10,TISTUD-28,Show remote samples in Samples View,show remote view div p allow alternate list remote server would demand code p div,1
11,TISTUD-29,Add Titanium Samples,add titanium div p short list included titanium developer kitchen sink obvious one p div,1
12,TISTUD-30,Convert Titanium Ruble and package with Titanium Plugin,convert titanium ruble package titanium div p convert titanium mobile ruble format titanium mobile titanium double check license may need ask permission p div,1
13,TISTUD-31,Add Sample Titanium templates,add sample titanium div p add template directory add sample per titanium specific perhaps something team could suggest least ruble added later p div,1
14,TISTUD-32,Auto-update of Titanium SDK,auto update titanium div p ping web service present proper directory shalom portal code p div,1
15,TISTUD-36,Launch debugger against emulators,launch div p add button explorer help current project similar similar p div,1
16,TISTUD-37,Launch debuggers against device (tethered),launch device div p similar p div,1
17,TISTUD-40,Add iframe for Ad Content to Welcome/Dashboard screen,add ad content welcome dashboard screen retrieve content frame similar location assume static content mode,1
18,TISTUD-44,Create new Titanium Studio Splash Screen,create new titanium studio splash screen image titanium splash need replacement replace size use new different size need configure new de article,1
19,TISTUD-54,Allow users to install new Mobile/Desktop/etc SDKs,allow install new mobile div p let easily grab latest mobile install machine p div,1
20,TISTUD-62,Make App Explorer the active view by default in TiDev 2,make explorer active view default div p currently project explorer front switch explorer p div,1
21,TISTUD-64,Implement tiapp.xml validation,implement validation div p example see developer question error error generating manifest developer question error error p div,1
22,TISTUD-65,"""Run on Device"" for Android",run device android div p add run device entry android p div,1
23,TISTUD-66,Add pings to Iphone events,add div p mobile install device event p p method used p div,1
24,TISTUD-67,Add pings to Android Events,add android div p mobile distribute event use mobile install device event use p div,1
25,TISTUD-68,Add pings to Blackberry Events,add blackberry div p mobile distribute event use p p mobile install device event use p p blackberry null p div,1
26,TISTUD-69,Add pings to Desktop events,add div p launch use p p package use p div,1
27,TISTUD-71,Create JSCA reader,create reader schema schema defined need create code read following format reader require schema schema support event reader,1
28,TISTUD-72,Store Analytic ping events in database,store analytic ping want store case user,1
29,TISTUD-73,Context info popup blocks code when using mutli-line function invocations,context code line function showing particularly object inside method like need follow row current offset whereas right basically one line function invocation start,1
30,TISTUD-85,Prompt for perspective reset if perspective layout/information has changed,prompt perspective reset perspective layout information pull code studio allow u version perspective perspective version prompt user would like reset perspective new version,1
31,TISTUD-86,Close Studio or force update if user attempts to use product past pre-set expiration date,close studio force update user use product past set expiration date date june user date use product force update new version shut product disabled used inside eclipse,1
32,TISTUD-87,Refactor all ping related methods to a utility class,ping related utility class example extract utility class,1
33,TISTUD-101,Add preferences for Titanium Desktop and Mobile SDKs,add titanium mobile currently way adjust titanium mobile want initialize mac library application support titanium titanium titanium,1
34,TISTUD-106,Download latest SDK on initial Titanium Startup,latest initial titanium user titanium studio need ensure one ready might done already great otherwise let automatically install latest mobile,1
35,TISTUD-112,Clean doesn't actually clean a mobile project,clean actually clean mobile project need make clean actually remove content build build android directory cause real clean build project regenerate,1
36,TISTUD-115,Upgrade packaged JRuby to 1.6.0 RC3,upgrade bug saw funky default upgrade possible,1
37,TISTUD-121,Allow users to download older versions of Mobile SDK,allow older mobile change install titanium install specific titanium add radio button install top text box stay people paste add browse button surf local location disk install update stream drop via extension point two default release stream net p release list name filter o continuous integration master stream mobile master index may need work platform either regularize format b allow extension point apply grab build,13
38,TISTUD-123,Exclude build folder from AppExplorer,exclude build folder application building could see constant progress view,1
39,TISTUD-124,Keep user signed in for 24 hours since last sign in if offline,keep user since last sign basically user go currently still could continue use studio restart would better grace period,1
40,TISTUD-125,Splash/Login Screen looks empty if user is already logged in,splash login screen empty user already logged attached may page condensed somewhat since think need much space password otherwise place something blank area would look fine pasted top,1
