,issuekey,title,description,storypoint
0,DURACLOUD-4,Document logging framework,document logging framework store client whenever used c directory several underneath store log sending default way would good,1
1,DURACLOUD-10,Allow for simple updating of project version numbers,allow simple project version easy simple update version number release,3
2,DURACLOUD-19,Bulk load: Verify successful DuraCloud ingest of 10TB of BHL content,nan,16
3,DURACLOUD-21,JPEG2K: Image conversion service,image conversion service service wrapper service perform conversion tiff,8
4,DURACLOUD-22,JPEG2K: Image server service,image server service service wrapper service serve,5
5,DURACLOUD-23,JPEG2K: Image viewer service,image viewer service service wrapper service display,3
6,DURACLOUD-25,Messaging: Add support for all DuraStore methods,add support add support available rest define appropriate topic example greater degree replication filtering replication update delete creation provenance service,3
7,DURACLOUD-28,Replication: handle replication on update/delete ,nan,3
8,DURACLOUD-29,Replication: bulk from existing store to new/empty store ,replication bulk store new empty store replication content store space new store space starting new replicated store,7
9,DURACLOUD-38,Security: Add application security (basic auth),nan,13
10,DURACLOUD-39,Indexing service for space/content properties/tags (Search) ,indexing service space content search listening content making information included search engine index note need search engine available work prior working task choice need made indexing used likely apache apache various apache found assist selection task include rest support querying index,8
11,DURACLOUD-41,Integrity: check on demand (rely on DuraCloud generated hashes) ,integrity check demand rely allow ingest validation test case use validate replicated content store,13
12,DURACLOUD-60,Allow expected checksum value to be included when adding a content item,allow value included content item update rest call content item allow value file ensure file received correctly,2
13,DURACLOUD-61,Handle files larger than 5GB,handle size many want store facilitate handling large smaller transfer need back together well ideally transparent user even far multiple one space listing proper total file size,3
14,DURACLOUD-62,Enable Pax-logging,enable pax logging use container pax tooling important container configuration bundle level logging logging part classic logger common browse,2
15,DURACLOUD-63,Production AMI continuous integration testing,production ami continuous integration testing suite run schedule start production check button start verify service verify content,5
16,DURACLOUD-64,Update the development AMI,update development ami update tomcat user development ami allow calling apt get via password call add line end file tomcat bin apt get also add necessary initialize bundle home,1
17,DURACLOUD-65,Create utility for durastore & duraservice initialization,nan,1
18,DURACLOUD-66,Initialize servicesadmin $bundle.home at runtime,initialize bundle home currently bundle home configuration item since deployment machine likely different setup particular build machine would useful allow bundle home set note past building deployment machine may potentially initialize rest call initialize file baked ami initialize system property tempting,1
19,DURACLOUD-68,Integrate j2k viewer with duradmin content browse,integrate viewer content browse although viewer currently need tied content browse order useful content,3
20,DURACLOUD-69,Modularize project builds,project attempt isolate fundamental building testing task create three top level pom separate storage infrastructure bamboo run,1
21,DURACLOUD-70,Cannot upload empty content,cannot empty content testing trunk attempt send empty stream though request exception thrown content item never actually far empty via listing getting empty tested empty item test space error empty file able successfully list get delete empty,1
22,DURACLOUD-71,IA Filesystem Checksum Verifier,verifier utility need walk directory generate file read manifest provided book compare provided,1
23,DURACLOUD-72,content browser: previous link takes the user to the first page.,nan,1
24,DURACLOUD-74,Create EMC accounts for each pilot partner,create pilot partner order allow use storage pilot need create account partner add partner,1
25,DURACLOUD-75,Large-file chunking in durastore,large file feature accept large coming rest chunk,3
26,DURACLOUD-76,Large-file stitching in durastore,large file stitching feature accept large coming rest stitch single response stream,3
27,DURACLOUD-80,display thumbnails in content browser,nan,1
28,DURACLOUD-81,Update Rackspace Java library,update library resolved library based support current library need added need account,1
29,DURACLOUD-82,Large-file stitching as client-side utility,nan,3
30,DURACLOUD-86,Limit count of space items in space metadata,limit count space space current call get space count number space getting list entire set content counting included large number item space take quite around rather count every time space count capped value returned large number example cap counting value could returned cap along cap need way get actual content count would likely work best client side count since client would able update display indicate count proceeding,1
31,DURACLOUD-91,Out of memory error on uploading large files through duradmin.,memory error large try three tomcat throw error,2
32,DURACLOUD-93,Convert to use SLF4J consistently for logging,convert use consistently logging currently mix common logging common logging transitive need favor good reference point task thing common browse,3
33,DURACLOUD-94,Conversion service cleanup not always happening,conversion service cleanup always happening conversion service call add converted file storage neither converted file original removed work directory cleanup occur regardless whether conversion succeed additionally would good idea add retry call,1
34,DURACLOUD-95,Service Jars should be kept out of the service work directory,service kept service work directory specifically service package zip unpacked found already service work directory instead jar count done already jar,1
35,DURACLOUD-96,Unable to add metadata to a content item when the metadata name includes a space,unable add content item name space add content item name space add failure message added content list issue show space update issue resolved similar problem still added content item name space work properly refresh item disappear,2
36,DURACLOUD-97,Updating the MIME type of a content item to an invalid MIME value causes errors,mime type content item invalid mime value update mime type content item invalid value image exception thrown error medium type image item via rest consequently validation check make sure value provided mime type acceptable,1
37,DURACLOUD-98,Progress bar for uploading content items in duradmin,progress bar content right content item,1
38,DURACLOUD-101,Create utility to sync to DuraCloud from the filesystem,create utility sync used sync arbitrary file system new one use case direct backup file content archive without needing talk directly see common confluence x detail,16
39,DURACLOUD-102,Add option to set color space in Image Conversion service,add option set color space image conversion service format need converted part process converting tiff task include option indicate preferred target call perform image conversion option need included item service,2
40,DURACLOUD-103,Ability for account-admin to add image/mark-up to duradmin home page,ability account add image mark home page goal feature allow include organization,1
41,DURACLOUD-104,Handle access control at the DuraCloud level rather than depending on storage providers,handle access control level rather depending storage access control version handled access underlying storage allow disallow direct access content provider decided always mediate content access access control within open space allow anonymous read access content whereas closed space allow access authorized,2
42,DURACLOUD-106,Security: Add application support for transport security (ssl/tls),security add application support transport security issue enable handle,8
43,DURACLOUD-107,Security: Update PP AMI,nan,3
44,DURACLOUD-111,Video Streaming Service - Amazon Impl,video streaming service service expose video content cloud front streaming server,8
45,DURACLOUD-114,Multi-thread the Image Conversion Service ,thread image conversion service update image conversion service able spin set handle conversion process,2
46,DURACLOUD-115,Image Conversion Service should write output more frequently,image conversion service write output frequently process image conversion output file continually conversion activity possible review even service running available even service complete properly,2
47,DURACLOUD-118,Stylize 'logout' button,stylize button addition security button added base header need properly,1
48,DURACLOUD-121,Create view link for items when jp2000 service is not running.,nan,1
49,DURACLOUD-122,Display Generic filetype icon in contents view when jpg2000 service not available.,nan,2
50,DURACLOUD-123,Implement Browser side caching for space and item metadata,nan,3
51,DURACLOUD-126,Create content retrieval tool,create content retrieval tool tool complement sync tool command line utility would used pull content space local file system part activity,4
52,DURACLOUD-127,Duraservice REST-API: shorten /duraservice/services to /duraservice,nan,1
53,DURACLOUD-128,Anonymous StoreClient,anonymous need allow anonymous read access content bill primary store could pas unknown null method would need check null query param null param included use primary store entry point bill new public method something,1
54,DURACLOUD-129,Add refresh button to flush clientside cache,nan,1
55,DURACLOUD-130,Investigate sojo dependency,investigate dependency hello couple build due new dependency apparently always available hosting repository namely net optional jar like transitive dependency recently net spring spring jar would able testing see actually need dependency need pull repository since probably dependency tooling could remove local repository place exclude element pom run application see actually used anywhere naturally double check local repository make sure slip back thanks p new page form showing removing security initial page could go make usable presentable talk length later,1
56,DURACLOUD-131,Update EMC libraries and re-introduce to baseline,update introduce storage provider currently use inconsistent performance around time process taking storage service production hopefully client need recent version code need work latest use provider need,2
57,DURACLOUD-132,Application Initialization tool,application tool process becomes increasingly involved tooling support would helpful tool read configuration security initialize three set security three,3
58,DURACLOUD-133,REST-ful initialization of duradmin,rest currently way initialize improvement allow call,1
59,DURACLOUD-134,Propagate duradmin security updates to durastore & duraservice,propagate security security need,1
60,DURACLOUD-135,Handle XML in a consistent way throughout the DuraCloud baseline,handle consistent way throughout currently many used object model first step pull bit generation code class passing back used code make easier factor handling standard method consider tool best set use consistently also standard method validation relax considered,5
61,DURACLOUD-140,Error viewing files in DurAdmin space listing,error space listing replicate add attached file file name space view space request fail get new file link removed unable complete request status click link everything displayed file note problem occur show couple causing failure link item disappear side note select content item view space page content loaded content list turn error content page shortly get back normal may appear user done something wrong content link,2
