,issuekey,title,description,storypoint
0,DM-4,Transition git repositories to Stash,transition git stash transition stash,10
1,DM-8,Finalize DM mission statement,finalize mission statement mission statement stack development quote science well state art high performance scalable camera open source survey data analysis system quote following rationale well otherwise impossible maintain usable level state art quality instrument need science systematic limited require u develop new break new ground number high performance massive amount data need process reasonable budget scalable need run single core level data release production camera need process precursor data development camera ideal open source want community future benefit,2
2,DM-9,Open up LSST software mailing lists,open benefit making development open possible conducive outside volunteer one way increase community involvement open development public analogous way open source example could development list equivalent current data list equivalent current stack list could possibly confluence internal staff list rare go staff though rely meeting project spec legally disclaimer,1
3,DM-10,Transition to Confluence Questions,transition confluence open confluence site interaction community enable community self help,10
4,DM-17,Add derivatives-based optimizer to meas_multifit,add based see dev ticket story estimate work code review still substantial,10
5,DM-20,Release EUPS 1.3.0,release release repository,1
6,DM-21,Determine final URL/location for W'14 stack,determine final location w stack need know w stack going,1
7,DM-22,Update newinstall.sh to check for existence of git and python on users' machines,nan,1
8,DM-23,Confirm stack builds on OS X 10.8,nan,1
9,DM-25,Build Winter'14 release,build winter release run build create build winter release,1
10,DM-26,Update installation instructions,update installation update confluence install winter stack confluence display user guide,1
11,DM-28,Modify gitolite permissions to allow issue/DM-NNNN branches,modify allow issue use issue tracked differentiate still,1
12,DM-52,Qserv configuration - detailed design,configuration detailed design detailed design covering,3
13,DM-53,Node configuration and bootstrapping - detailed design,node configuration detailed design design covering design new add cluster already added get turned maintenance,6
14,DM-55,Node bootstrapping - 1st prototype,nan,15
15,DM-56,Zookeeper-based CSS (v1),nan,40
16,DM-66,switch back to throwing exceptions in css/Facede.cc,nan,1
17,DM-70,Rewrite xrootd-facing code,rewrite facing code task related new client different expect also major cleanup code talking plugging new,30
18,DM-71,Data Distribution Design v1,data distribution design need come detailed design covering deal data distribution multiple new cluster new data ingest user data,8
19,DM-75,Modify format of version numbers,modify format version auto new look like code list python code part plus sign output git describe slightly part sorted benefit two causally disconnected build many people plain ugly alternative proposal tag exist commit use tag version tag use illegal get turned package build package different already append n end keep n dependency name special git repository given source code git two causally disconnected generate set example master feature feature,1
20,DM-78,Save a git-branch when a forced push is detected,save git branch forced push create hook save branch forced push e g ticket someone force update hook branch old state say monotonically increasing number per branch,1
